88,2025-05-13 16:28:44
09,2025-05-13 16:28:45
09,2025-05-13 16:28:46
0,2025-05-13 16:28:46
LA-ZL,2025-05-13 16:28:50
M8 89,2025-05-13 16:28:50
Le-ZL,2025-05-13 16:28:51
0889,2025-05-13 16:28:51
L8-Z1,2025-05-13 16:28:52
88 89,2025-05-13 16:28:54
88 89,2025-05-13 16:28:54
88*89,2025-05-13 16:28:56
88*89,2025-05-13 16:28:56
88*89,2025-05-13 16:28:57
B1,2025-05-13 16:28:58
0,2025-05-13 16:28:58
12-1,2025-05-13 16:28:59
12,2025-05-13 16:28:59
16,2025-05-13 16:28:59
0,2025-05-13 16:28:59
8,2025-05-13 16:29:00
12-B1,2025-05-13 16:29:00
12-B1,2025-05-13 16:29:01
168.88,2025-05-13 16:29:03
168.88,2025-05-13 16:29:03
168.88,2025-05-13 16:29:03
168.88,2025-05-13 16:29:04
168.88,2025-05-13 16:29:04
168.88,2025-05-13 16:29:04
168.88,2025-05-13 16:29:05
168.88,2025-05-13 16:29:05
168.88,2025-05-13 16:29:05
168.88,2025-05-13 16:29:06
168.88,2025-05-13 16:29:06
168.88,2025-05-13 16:29:06
168.88,2025-05-13 16:29:06
168.88,2025-05-13 16:29:07
68.98,2025-05-13 16:29:07
68.98,2025-05-13 16:29:08
168,2025-05-13 16:29:08
12-81,2025-05-13 16:29:09
12-B1,2025-05-13 16:29:09
12-B1,2025-05-13 16:29:09
12-B1,2025-05-13 16:29:10
12-B1,2025-05-13 16:29:10
12-B1,2025-05-13 16:29:10
12-B1,2025-05-13 16:29:11
12-B1,2025-05-13 16:29:11
12-B1,2025-05-13 16:29:12
12-B1,2025-05-13 16:29:12
12-B1,2025-05-13 16:29:12
12-B1,2025-05-13 16:29:13
12 -,2025-05-13 16:29:15
12 -,2025-05-13 16:29:16
6,2025-05-13 16:29:17
12 -,2025-05-13 16:29:17
D',2025-05-13 16:29:20
2 - R1,2025-05-13 16:29:20
2,2025-05-13 16:29:20
17-R1,2025-05-13 16:29:21
12-B1,2025-05-13 16:29:23
12-B1,2025-05-13 16:29:23
12-B1,2025-05-13 16:29:24
12-B1,2025-05-13 16:29:24
12-B1,2025-05-13 16:29:24
12-B1,2025-05-13 16:29:24
12-B1,2025-05-13 16:29:25
12-B1,2025-05-13 16:29:25
168.88,2025-05-13 16:29:25
TP1,2025-05-13 16:29:26
668.88,2025-05-13 16:29:26
12-B1,2025-05-13 16:29:27
168.88,2025-05-13 16:29:27
168.88,2025-05-13 16:29:27
168.88,2025-05-13 16:29:28
168.88,2025-05-13 16:29:28
168.88,2025-05-13 16:29:29
168.88,2025-05-13 16:29:29
168.88,2025-05-13 16:29:29
12-B1,2025-05-13 16:29:29
12-B1,2025-05-13 16:29:30
12-B1,2025-05-13 16:29:30
168.88,2025-05-13 16:29:36
168.88,2025-05-13 16:29:36
168.88,2025-05-13 16:29:36
168.88,2025-05-13 16:29:37
168.88,2025-05-13 16:29:37
168.88,2025-05-13 16:29:37
168.88,2025-05-13 16:29:37
168.88,2025-05-13 16:29:38
168.88,2025-05-13 16:29:38
168.88,2025-05-13 16:29:38
12-B1,2025-05-13 16:29:38
168.88,2025-05-13 16:29:39
12-B1,2025-05-13 16:29:39
12-B1,2025-05-13 16:29:39
168.88,2025-05-13 16:29:40
168.08,2025-05-13 16:29:40
12-B1,2025-05-13 16:29:41
12-B1,2025-05-13 16:29:41
12-B1,2025-05-13 16:29:42
12-B1,2025-05-13 16:29:42
12-B1,2025-05-13 16:29:42
12-B1,2025-05-13 16:29:42
12-B1,2025-05-13 16:29:43
12-B1,2025-05-13 16:29:43
12-B1,2025-05-13 16:29:43
12-B1,2025-05-13 16:29:44
12-B1,2025-05-13 16:29:44
12-BI,2025-05-13 16:29:44
12-BI,2025-05-13 16:29:44
12-B1,2025-05-13 16:29:45
12-BI,2025-05-13 16:29:45
12-BI,2025-05-13 16:29:45
12-B1,2025-05-13 16:29:45
12-BI,2025-05-13 16:29:46
12-BI,2025-05-13 16:29:46
12-BI,2025-05-13 16:29:46
12-BI,2025-05-13 16:29:46
12-BI,2025-05-13 16:29:47
168.88,2025-05-13 16:29:47
12-B1,2025-05-13 16:29:47
12-BI,2025-05-13 16:29:47
12-BI,2025-05-13 16:29:48
12-B1,2025-05-13 16:29:48
12-B1,2025-05-13 16:29:48
12-B1,2025-05-13 16:29:48
12-B1,2025-05-13 16:29:49
12-B1,2025-05-13 16:29:49
12-B1,2025-05-13 16:29:49
12-B1,2025-05-13 16:29:49
12-BI,2025-05-13 16:29:50
12-B1,2025-05-13 16:29:50
12-B1,2025-05-13 16:29:50
12-B1,2025-05-13 16:29:50
12-B1,2025-05-13 16:29:51
12-B1,2025-05-13 16:29:51
12-B1,2025-05-13 16:29:51
12-B1,2025-05-13 16:29:52
12-B1,2025-05-13 16:29:52
12-B1,2025-05-13 16:29:52
12-B1,2025-05-13 16:29:52
12-B1,2025-05-13 16:29:53
12-B1,2025-05-13 16:29:53
12-B1,2025-05-13 16:29:53
12-B1,2025-05-13 16:29:53
12-B1,2025-05-13 16:29:54
12-B1,2025-05-13 16:29:54
12-B1,2025-05-13 16:29:54
12-B1,2025-05-13 16:29:54
168.88,2025-05-13 16:29:57
12-87,2025-05-13 16:29:58
168.88,2025-05-13 16:29:58
72-B1,2025-05-13 16:29:58
72-B1,2025-05-13 16:29:59
16 ' 98,2025-05-13 16:29:59
16 ` 88,2025-05-13 16:29:59
12-B1,2025-05-13 16:29:59
12-B1,2025-05-13 16:30:00
12-B,2025-05-13 16:30:00
12-B1,2025-05-13 16:30:00
12-B1,2025-05-13 16:30:00
12-B1,2025-05-13 16:30:01
12-B1,2025-05-13 16:30:01
12-BT,2025-05-13 16:30:01
12-BT,2025-05-13 16:30:01
12-B1,2025-05-13 16:30:01
12-B1,2025-05-13 16:30:02
12-B1,2025-05-13 16:30:02
12-B1,2025-05-13 16:30:02
12-B1,2025-05-13 16:30:03
12-B1,2025-05-13 16:30:03
12-B1,2025-05-13 16:30:03
12-B,2025-05-13 16:30:03
12-BT,2025-05-13 16:30:04
12-BT,2025-05-13 16:30:04
168 98,2025-05-13 16:30:04
12-B1,2025-05-13 16:30:04
168 98,2025-05-13 16:30:04
12-B1,2025-05-13 16:30:05
12-B1,2025-05-13 16:30:05
12-B1,2025-05-13 16:30:05
12-B1,2025-05-13 16:30:05
12-B1,2025-05-13 16:30:06
12-BT,2025-05-13 16:30:06
12-B1,2025-05-13 16:30:06
12-B1,2025-05-13 16:30:07
12-B1,2025-05-13 16:30:07
12-BT,2025-05-13 16:30:07
12-B1,2025-05-13 16:30:07
12-B1,2025-05-13 16:30:08
12-B1,2025-05-13 16:30:08
12-B1,2025-05-13 16:30:08
12-B1,2025-05-13 16:30:08
12-B1,2025-05-13 16:30:09
12-B1,2025-05-13 16:30:09
